,Email,Views,Joined,Des,Location,Channel Url
0,Not found,"490,042 views","Mar 25, 2020",The Newsters is an online news portal covering the latest and unaltered news throughout India and the globe.,India,https://www.youtube.com/channel/UCWfyzFT4WARHJu7G1tFSlAw
1,Not found,"1,357 views","Dec 28, 2014",Not found,Not found,https://www.youtube.com/channel/UCXJFgRlK7wUq2xTFOSeuq9Q
2,Not found,"3,546 views","Dec 21, 2016","राष्ट्रीय महासचिव
भारतीय मानवता पार्टी",Not found,https://www.youtube.com/channel/UCVbfQDcNkRumWUXcCBpshYg
3,Not found,"8,486 views","Mar 24, 2020",Indian,Not found,https://www.youtube.com/channel/UCBHzx07ihe3B8o2DUHylBhg
4,Not found,"1,443 views","Nov 24, 2020",Short clips poetic south Asian lyrics & status,Not found,https://www.youtube.com/channel/UCI9mEh8uJJGrWqLEC6gEEtA
5,Not found,9 views,"May 17, 2020","this channel is the News like all Channel :- NDTV INDIA , AAJ TAK , ABP NEWS , NDIA TV ,ZEE NEWS ,YOUTUBE NEWS CHANNEL and ETC like that..",India,https://www.youtube.com/channel/UCk6ZWExrHRdKWXQdlX4GS3Q
6,Not found,"3,170 views","Mar 20, 2020",I Love India,India,https://www.youtube.com/channel/UCUDXs0UjSfN0OQ2hRwzWhow
7,Not found,195 views,"Dec 24, 2020",Latest entertainment,India,https://www.youtube.com/channel/UCa5rjMpqFXKZtudmykwL8Mw
8,Not found,383 views,"Feb 7, 2021",Not found,Not found,https://www.youtube.com/channel/UC6ASBHDPj6hGayFkt2xf63Q
9,Not found,229 views,"Feb 4, 2021","Crypto Adda is the Youtube Channel for Cryptocurrencies Like Bitcoin, Dogecoin, Etherium ETC. You will get All The news Related To Cryptocurrency here",India,https://www.youtube.com/channel/UCgAesRjjmdNKgF5PeD6yKXw
10,Not found,"40,525 views","Feb 14, 2012","2012 me socha YouTuber banauga...channel bhi banaya lekin.....

Sochte sochte 2020 me start kiya...


Subscribe for new Video every week!!",India,https://www.youtube.com/channel/UCXBh66Q6HHJya_Gy9KDD88w
11,Not found,"57,601 views","Apr 3, 2020","देश की हर बड़ी खबरों को हम सटीक विश्लेषण के साथ आपतक पहुंचाएंगे ! .हम सिर्फ खबर ही नहीं, बल्कि  उसके दोनों पहलू भी दिखाएंगे। ये प्लेटफॉर्म आपतक जमीनी सच्चाई पहुंचाने का एक माध्यम है।",India,https://www.youtube.com/channel/UCX6vYy-yS5GsL_cbZiwJGiA
12,Not found,"7,355 views","Apr 1, 2020","An artist to express my thoughts through music and lyrics. Indipendent artist.RAPPER, LYRICIST, COMPOSER, SINGER.,., video maker.,.,#jai Hind 🕉️🙏🇮🇳🔱❤️.,",Not found,https://www.youtube.com/channel/UCWn9mAv_FuLQsvl_6sApUQA
13,Not found,198 views,"Feb 16, 2021","Sach Tv news Hindi News Chanel, Saskar, Sanskrat Indian, Respected Men & Women Etc.  
सच टीवी न्यूज हिन्दी चैनल, भारतीय संस्कार संस्कृति, सम्मानित महिला, पुरुष, बच्चे आदि ",Not found,https://www.youtube.com/channel/UC9GDmpIdgD0kjr1o2G2C9Aw
14,Not found,"18,224 views","Dec 6, 2016","YouTube channel Our  Shri Narendra Modi, Prime Minister of India.and  how they work for nationa. keep support our Prime Minister of India  and subscribe . jai hind",Not found,https://www.youtube.com/channel/UCl_qesdn56-OP67usJDbzfA
15,Not found,"1,344 views","Aug 15, 2013",Not found,Not found,https://www.youtube.com/channel/UClv5dh67zRXoyoSDF3GXSxg
16,Not found,"14,821 views","Feb 29, 2020","Mehmood Pracha is a New Delhi, India based lawyer, noted for his Criminal law practice. He has been at the forefront of defending the innocent youth who are routinely implicated falsely in terror-related cases, in the trials, and at appellate stages. He is known for extensively engaging in pro-Bono work for the weaker sections of the society including women, SC/STs, and minorities. He has rendered pro Bono services as Legal Consultant to the National Commission for Women, National Commission for Minorities and Delhi Safaikaramchari Commission. He has previously been the Addl. Advocate General for the State of Haryana in the Supreme Court of India, a position which he abdicated in protest against the state inaction over the Gohana massacre. In contradistinction to the norm amongst other Human Rights Lawyers, Pracha’s principal focus has been on the Trial Courts i.e. the courts of first instance where Human Rights risk being trampled, in the absence of diligent and able advocacy on the p",India,https://www.youtube.com/channel/UCiA7dNSya3TsztsNyIamDXw
17,Not found,404 views,"Jun 23, 2016",S k news,Not found,https://www.youtube.com/channel/UC1aoeBWgob6Q2mmwNgzUrQw
18,Not found,"7,901 views","Jun 20, 2018",Not found,India,https://www.youtube.com/channel/UCzS8p99VjmLeYu0m0eKr_Jw
